地域コード,地域,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
13115,杉並区,30～34,42553,20927,21626,39672,19495,20177,2881,1432,1449
13115,杉並区,35～39,42546,21316,21230,40517,20273,20244,2029,1043,986
13115,杉並区,40～44,43419,21762,21657,41979,20999,20980,1440,763,677
13115,杉並区,45～49,45361,22383,22978,44371,21840,22531,990,543,447
13115,杉並区,50～54,45825,22314,23511,45048,21928,23120,777,386,391
13115,杉並区,55～59,39746,19907,19839,39139,19609,19530,607,298,309
13115,杉並区,60～64,31622,15649,15973,31132,15427,15705,490,222,268
13115,杉並区,65～69,25811,12605,13206,25470,12446,13024,341,159,182
13115,杉並区,70～74,26199,12179,14020,25983,12081,13902,216,98,118
13115,杉並区,75～79,24680,10960,13720,24539,10889,13650,141,71,70
13115,杉並区,80～84,19353,7712,11641,19280,7683,11597,73,29,44
13115,杉並区,85～89,13689,4652,9037,13640,4635,9005,49,17,32
13115,杉並区,90～94,7758,2214,5544,7734,2205,5529,24,9,15
13115,杉並区,95～99,2553,496,2057,2543,493,2050,10,3,7
13115,杉並区,100以上,392,43,349,390,43,347,2,-,2
13116,豊島区　,総数,291650,146383,145267,258918,129425,129493,32732,16958,15774
13116,豊島区　,0～4,8754,4475,4279,8104,4138,3966,650,337,313
13116,豊島区　,5～9,8921,4548,4373,8439,4286,4153,482,262,220
