地域 コード,地域,時間軸(年次),世帯の年間収入階級,普通世帯数【世帯】
13221,清瀬市,2018年,200～300万円未満,"4,620"
13221,清瀬市,2018年,300～400万円未満,"3,480"
13221,清瀬市,2018年,400～500万円未満,"3,140"
13221,清瀬市,2018年,500～700万円未満,"4,350"
13221,清瀬市,2018年,700～1000万円未満,"3,630"
13221,清瀬市,2018年,1000～1500万円未満,"1,740"
13221,清瀬市,2018年,1500万円以上,500
13222,東久留米市,2018年,総数,"50,090"
13222,東久留米市,2018年,100万円未満,"1,930"
13222,東久留米市,2018年,100～200万円未満,"6,270"
13222,東久留米市,2018年,200～300万円未満,"7,410"
13222,東久留米市,2018年,300～400万円未満,"6,060"
13222,東久留米市,2018年,400～500万円未満,"5,430"
13222,東久留米市,2018年,500～700万円未満,"7,300"
13222,東久留米市,2018年,700～1000万円未満,"6,040"
13222,東久留米市,2018年,1000～1500万円未満,"2,740"
13222,東久留米市,2018年,1500万円以上,950
13223,武蔵村山市,2018年,総数,"29,510"
13223,武蔵村山市,2018年,100万円未満,"1,820"
13223,武蔵村山市,2018年,100～200万円未満,"3,350"
13223,武蔵村山市,2018年,200～300万円未満,"4,720"
13223,武蔵村山市,2018年,300～400万円未満,"3,880"
13223,武蔵村山市,2018年,400～500万円未満,"3,450"
13223,武蔵村山市,2018年,500～700万円未満,"4,690"
13223,武蔵村山市,2018年,700～1000万円未満,"3,420"
13223,武蔵村山市,2018年,1000～1500万円未満,"1,060"
13223,武蔵村山市,2018年,1500万円以上,560
13224,多摩市,2018年,総数,"65,920"
13224,多摩市,2018年,100万円未満,"4,080"
13224,多摩市,2018年,100～200万円未満,"7,210"
13224,多摩市,2018年,200～300万円未満,"10,530"
13224,多摩市,2018年,300～400万円未満,"9,140"
13224,多摩市,2018年,400～500万円未満,"7,080"
13224,多摩市,2018年,500～700万円未満,"10,260"
13224,多摩市,2018年,700～1000万円未満,"7,590"
13224,多摩市,2018年,1000～1500万円未満,"4,400"
13224,多摩市,2018年,1500万円以上,"1,150"
13225,稲城市,2018年,総数,"37,110"
13225,稲城市,2018年,100万円未満,"1,240"
13225,稲城市,2018年,100～200万円未満,"2,690"
13225,稲城市,2018年,200～300万円未満,"4,890"
13225,稲城市,2018年,300～400万円未満,"5,480"
13225,稲城市,2018年,400～500万円未満,"4,120"
13225,稲城市,2018年,500～700万円未満,"6,200"
13225,稲城市,2018年,700～1000万円未満,"6,010"
13225,稲城市,2018年,1000～1500万円未満,"3,340"
13225,稲城市,2018年,1500万円以上,"1,030"
13227,羽村市,2018年,総数,"22,290"
13227,羽村市,2018年,100万円未満,"1,050"
13227,羽村市,2018年,100～200万円未満,"2,150"
13227,羽村市,2018年,200～300万円未満,"3,270"
13227,羽村市,2018年,300～400万円未満,"2,980"
13227,羽村市,2018年,400～500万円未満,"2,840"
13227,羽村市,2018年,500～700万円未満,"3,970"
13227,羽村市,2018年,700～1000万円未満,"2,690"
13227,羽村市,2018年,1000～1500万円未満,"1,190"
13227,羽村市,2018年,1500万円以上,460
13228,あきる野市,2018年,総数,"31,070"
13228,あきる野市,2018年,100万円未満,900
13228,あきる野市,2018年,100～200万円未満,"2,900"
13228,あきる野市,2018年,200～300万円未満,"5,090"
13228,あきる野市,2018年,300～400万円未満,"4,730"
13228,あきる野市,2018年,400～500万円未満,"4,270"
13228,あきる野市,2018年,500～700万円未満,"5,070"
13228,あきる野市,2018年,700～1000万円未満,"3,690"
13228,あきる野市,2018年,1000～1500万円未満,"1,240"
13228,あきる野市,2018年,1500万円以上,350
13229,西東京市,2018年,総数,"89,760"
13229,西東京市,2018年,100万円未満,"3,580"
13229,西東京市,2018年,100～200万円未満,"9,880"
13229,西東京市,2018年,200～300万円未満,"12,650"
13229,西東京市,2018年,300～400万円未満,"11,540"
13229,西東京市,2018年,400～500万円未満,"9,890"
13229,西東京市,2018年,500～700万円未満,"12,220"
13229,西東京市,2018年,700～1000万円未満,"10,710"
13229,西東京市,2018年,1000～1500万円未満,"7,040"
13229,西東京市,2018年,1500万円以上,"1,990"
13303,瑞穂町,2018年,総数,"12,950"
13303,瑞穂町,2018年,100万円未満,560
13303,瑞穂町,2018年,100～200万円未満,"1,090"
13303,瑞穂町,2018年,200～300万円未満,"2,810"
13303,瑞穂町,2018年,300～400万円未満,"2,120"
13303,瑞穂町,2018年,400～500万円未満,"1,380"
13303,瑞穂町,2018年,500～700万円未満,"1,720"
13303,瑞穂町,2018年,700～1000万円未満,"1,200"
13303,瑞穂町,2018年,1000～1500万円未満,610
13303,瑞穂町,2018年,1500万円以上,190
13305,日の出町,2018年,総数,"5,630"
13305,日の出町,2018年,100万円未満,200
13305,日の出町,2018年,100～200万円未満,610
13305,日の出町,2018年,200～300万円未満,820
13305,日の出町,2018年,300～400万円未満,"1,050"
13305,日の出町,2018年,400～500万円未満,950
13305,日の出町,2018年,500～700万円未満,"1,030"
13305,日の出町,2018年,700～1000万円未満,530
13305,日の出町,2018年,1000～1500万円未満,70
13305,日の出町,2018年,1500万円以上,70
